Date,Actual_HHS_Load,RF_Forecast,GB_Forecast,SARIMA_Forecast
2025-11-12,2302.0,2357.9919085497836,2303.0213602911786,3489.2701539004893
2025-11-13,2317.0,2322.5648793290043,2314.084346733122,3474.790357870989
2025-11-16,2340.0,2319.422991883117,2301.6688709491455,3488.942951328552
2025-11-17,2343.0,2341.8571071428573,2339.0138595086787,3492.7301003928137
2025-11-18,2345.0,2341.85694047619,2336.294635492234,3506.1095485557207
2025-11-19,2340.0,2338.6166309523805,2331.877528514547,3540.549210709051
2025-11-20,2340.0,2403.78325,2428.973682550848,3525.2964583560674
2025-11-23,2375.0,2370.1929999999998,2359.166726298248,3551.3425600896503
2025-11-24,2371.0,2363.1505714285718,2360.0651372560615,3536.8352417142405
2025-11-25,2375.0,2394.2611944444448,2362.778812090422,3550.9603262607843
2025-11-27,2389.0,2370.1781111111113,2364.1994936311107,3554.719979852677
2025-11-30,2415.0,2379.883333333333,2370.9006575285316,3568.0719459692596
2025-12-01,2410.0,2400.751988095238,2395.6364558556857,3602.484139496596
2025-12-02,2407.0,2399.3630992063495,2399.3924257003187,3587.203931929545
2025-12-03,2419.0,2398.9203611111116,2401.4440671737684,3613.2225918594963
2025-12-04,2418.0,2400.643654761905,2401.4101951954162,3598.6878450798627
2025-12-07,2429.0,2396.3799166666668,2403.7954721803103,3612.7855146182064
2025-12-08,2440.0,2398.0359166666667,2414.3907767893324,3616.5177665886595
2025-12-09,2443.0,2398.038654761905,2403.905436563989,3629.8423444656187
2025-12-10,2439.0,2456.853154761905,2479.646802227725,3664.2271631283916
2025-12-11,2437.0,2425.6394880952384,2401.845749995026,3648.9195940657924
2025-12-14,2462.0,2398.673654761905,2392.4060049876166,3674.910905861349
2025-12-15,2470.0,2409.5575833333332,2403.8519551553054,3660.348824303129
2025-12-16,2468.0,2456.102083333333,2486.5057950639957,3674.4191724113402
2025-12-17,2481.0,2396.8600833333335,2404.6815960513673,3678.1241162943134
2025-12-18,2472.0,2438.513654761905,2405.5415095611597,3691.4213994195093
2025-12-21,2484.0,2400.4678214285714,2405.581704796465,3725.7789366597813
